部件ID,对象类型,对象句柄,起点X,起点Y,终点X,终点Y,圆心X,圆心Y,半径,起始角度(°),总角度(°)
A22-2,LINE,3BDA7,122.171308,172.812372,122.171308,173.312372,,,,,
A22-2,LINE,3BDA6,122.171308,173.312372,123.671308,173.312372,,,,,
A22-2,LINE,3BDA5,123.671308,173.312372,123.671308,180.312372,,,,,
A22-2,LINE,3BDA4,125.671308,180.312372,125.671308,173.312372,,,,,
A22-2,LINE,3BDA3,125.671308,173.312372,128.527512,173.312372,,,,,
A22-2,LINE,3BDA2,128.527512,173.312372,128.527512,180.312372,,,,,
A22-2,LINE,3BDA1,130.527512,180.312372,130.527512,173.312372,,,,,
A22-2,LINE,3BDA0,130.527512,173.312372,132.027512,173.312372,,,,,
A22-2,LINE,3BD9F,132.027512,173.312372,132.027512,172.812372,,,,,
A22-2,ARC,3BD9E,131.027512,171.812372,132.027512,172.812372,131.027512,172.812372,1,270,90
A22-2,ARC,3BD9D,122.171308,172.812372,123.171308,171.812372,123.171308,172.812372,1,180,90
A22-1,LINE,3BD9C,113.607547,171.812372,112.314901,171.812372,,,,,
A22-1,LINE,3BD9B,118.520424,171.812372,113.957547,171.812372,,,,,
A22-1,LINE,3BD9A,120.171105,171.812372,118.870424,171.812372,,,,,
A22-1,ARC,3BD99,118.521528,181.301122,117.671105,180.312372,118.671105,180.312372,1,98.602445,81.397555
A22-1,ARC,3BD95,119.671105,180.312372,118.820683,181.301122,118.671105,180.312372,1,0,81.397555
A22-1,ARC,3BD94,113.665324,181.301122,112.814901,180.312372,113.814901,180.312372,1,98.602445,81.397555
A22-1,ARC,3BD93,114.814901,180.312372,113.964479,181.301122,113.814901,180.312372,1,0,81.397555
A22-1,LINE,3BD92,111.314901,172.812372,111.314901,173.312372,,,,,
A22-1,LINE,3BD91,111.314901,173.312372,112.814901,173.312372,,,,,
A22-1,LINE,3BD90,112.814901,173.312372,112.814901,180.312372,,,,,
A22-1,LINE,3BD8F,114.814901,180.312372,114.814901,173.312372,,,,,
A22-1,LINE,3BD8E,114.814901,173.312372,117.671105,173.312372,,,,,
A22-1,LINE,3BD8D,117.671105,173.312372,117.671105,180.312372,,,,,
A22-1,LINE,3BD8C,119.671105,180.312372,119.671105,173.312372,,,,,
A22-1,LINE,3BD8B,119.671105,173.312372,121.171105,173.312372,,,,,
A22-1,LINE,3BD8A,121.171105,173.312372,121.171105,172.812372,,,,,
A22-1,ARC,3BD89,120.171105,171.812372,121.171105,172.812372,120.171105,172.812372,1,270,90
A22-1,ARC,3BD88,111.314901,172.812372,112.314901,171.812372,112.314901,172.812372,1,180,90
A24-1,ARC,3BD87,84.70393,194.014147,84.508849,193.420763,85.508849,193.420763,1,143.602445,36.397555
A24-1,ARC,3BD85,87.383787,178.337928,88.108849,179.220763,87.208849,179.220763,0.9,281.208234,78.791766
A24-1,LINE,3BD84,88.108849,179.220763,88.108849,194.420763,,,,,
A24-1,LINE,3BD83,86.008849,192.920763,86.008849,183.620763,,,,,
A24-1,ARC,3BD82,86.308849,179.220763,87.033911,178.337928,87.208849,179.220763,0.9,180,78.791766
A24-1,LINE,3BD81,86.308849,183.620763,86.308849,179.220763,,,,,
A24-1,LINE,3BD80,86.008849,183.620763,86.308849,183.620763,,,,,
A24-1,LINE,3BD7F,86.808849,194.420763,85.508849,194.420763,,,,,
A24-1,ARC,3BD7E,85.508849,194.420763,84.915465,194.225682,85.508849,193.420763,1,90,36.397555
A24-1,LINE,3BD7D,88.108849,194.420763,87.108849,194.420763,,,,,
A24-1,LINE,3BD7C,84.508849,192.920763,86.008849,192.920763,,,,,
A24-1,LINE,3BD7B,84.508849,193.420763,84.508849,192.920763,,,,,
A24-2,ARC,3BD7A,93.513768,179.127378,93.708849,179.720763,92.708849,179.720763,1,323.602445,36.397555
A24-2,ARC,3BD78,90.833911,194.803597,90.108849,193.920763,91.008849,193.920763,0.9,101.208234,78.791766
A24-2,LINE,3BD77,90.108849,193.920763,90.108849,178.720763,,,,,
A24-2,LINE,3BD76,92.208849,180.220763,92.208849,189.520763,,,,,
A24-2,ARC,3BD75,91.908849,193.920763,91.183787,194.803597,91.008849,193.920763,0.9,0,78.791766
